epoch,loss,accuracy,duration,gpus
1,1.3833389282226562,50.418,23.619792938232422,1
2,0.9826677441596985,65.408,14.426551818847656,1
3,0.8000501394271851,71.942,11.202741384506226,1
4,0.6767566800117493,76.472,14.098107814788818,1
5,0.57221519947052,80.086,13.838720083236694,1
6,0.47614866495132446,83.316,13.430766105651855,1
7,0.3988921642303467,86.134,12.634445667266846,1
8,0.32053983211517334,89.042,11.610679149627686,1
9,0.26203596591949463,90.89,13.75005578994751,1
10,0.21438050270080566,92.516,14.11885690689087,1
11,0.18187639117240906,93.622,12.26655912399292,1
12,0.14975380897521973,94.734,15.77057433128357,1
13,0.13153333961963654,95.34,15.190677881240845,1
14,0.1260462999343872,95.604,12.577756643295288,1
15,0.10563651472330093,96.282,15.034777402877808,1
16,0.102286696434021,96.508,16.09093165397644,1
17,0.08879910409450531,96.882,16.158384084701538,1
18,0.0837634950876236,97.052,12.798910856246948,1
19,0.08680963516235352,97.02,16.11761164665222,1
20,0.06830082088708878,97.632,11.226608037948608,1
21,0.08075014501810074,97.184,14.046802997589111,1
22,0.06919538974761963,97.648,16.01854133605957,1
23,0.06304219365119934,97.856,15.779207944869995,1
24,0.06372649222612381,97.792,15.969779253005981,1
25,0.058307573199272156,98.048,14.057934999465942,1
26,0.05834677442908287,98.016,11.92287540435791,1
27,0.06265057623386383,97.818,15.410536766052246,1
28,0.05131273716688156,98.31,16.126835823059082,1
29,0.05072011798620224,98.234,15.026249885559082,1
30,0.05372973158955574,98.12,12.146487474441528,1
31,0.052679672837257385,98.16,14.302594661712646,1
32,0.05270363390445709,98.208,15.774404048919678,1
33,0.041548408567905426,98.598,14.418680906295776,1
34,0.047132451087236404,98.4,11.301733016967773,1
35,0.04563087224960327,98.466,16.23871636390686,1
36,0.04104834422469139,98.616,15.094752073287964,1
37,0.04877515509724617,98.32,14.958369016647339,1
38,0.04189970716834068,98.536,13.226797819137573,1
39,0.03830895200371742,98.712,13.506083965301514,1
40,0.04010798782110214,98.624,11.238732814788818,1
41,0.04044012725353241,98.594,15.106783151626587,1
42,0.03451143577694893,98.874,15.958988428115845,1
43,0.04081229493021965,98.634,15.542311191558838,1
44,0.033426158130168915,98.834,15.950589418411255,1
45,0.038329023867845535,98.672,10.746601104736328,1
46,0.03641581907868385,98.756,14.68284821510315,1
47,0.03264448419213295,98.888,11.29072642326355,1
48,0.0371253602206707,98.728,16.450287103652954,1
49,0.030052240937948227,98.986,13.502289295196533,1
50,0.03742840513586998,98.832,14.366001605987549,1
