epoch,loss,duration,gpus
1,8.208207130432129,8.080419778823853,4
2,6.922126770019531,7.735632419586182,4
3,6.645245552062988,8.166722059249878,4
4,6.434055805206299,7.6781487464904785,4
5,6.253191947937012,7.139617204666138,4
6,6.0966901779174805,7.599506139755249,4
7,5.959299564361572,7.6454854011535645,4
8,5.838163375854492,7.75475001335144,4
9,5.729544639587402,8.006037473678589,4
10,5.630880355834961,7.4159064292907715,4
11,5.541079044342041,8.191231489181519,4
12,5.457871437072754,7.161794900894165,4
13,5.379326343536377,7.81862211227417,4
14,5.305989742279053,7.47968316078186,4
15,5.234081268310547,7.183432102203369,4
16,5.169733047485352,7.889415264129639,4
17,5.107694625854492,7.2041730880737305,4
18,5.047757148742676,7.641774415969849,4
19,4.988995552062988,7.6390111446380615,4
20,4.933131694793701,7.214798450469971,4
21,4.8795366287231445,7.299404144287109,4
22,4.828671455383301,7.278409481048584,4
23,4.7748236656188965,7.150532007217407,4
24,4.72731876373291,7.371688365936279,4
25,4.679729461669922,7.264569044113159,4
