epoch,loss,duration,gpus
1,8.207450866699219,8.216498136520386,4
2,6.919565200805664,7.910546064376831,4
3,6.638566970825195,7.222651243209839,4
4,6.426578998565674,8.35946798324585,4
5,6.245883941650391,8.182164192199707,4
6,6.088836193084717,8.250556468963623,4
7,5.946740627288818,7.8999412059783936,4
8,5.825142860412598,8.269888162612915,4
9,5.716062068939209,7.082365036010742,4
10,5.616935729980469,6.946919918060303,4
11,5.524949073791504,8.54622483253479,4
12,5.439767837524414,7.095130443572998,4
13,5.359248638153076,7.26030707359314,4
14,5.2849884033203125,7.295165061950684,4
15,5.21265983581543,7.242605686187744,4
16,5.148101806640625,7.454658508300781,4
17,5.084509372711182,7.346756458282471,4
18,5.023059844970703,7.25537371635437,4
19,4.963541507720947,7.670914649963379,4
20,4.906459808349609,7.050113201141357,4
21,4.8540825843811035,7.267465591430664,4
22,4.802124977111816,7.589969873428345,4
23,4.748865604400635,7.796792268753052,4
24,4.70140266418457,7.690060377120972,4
25,4.654275894165039,8.337997436523438,4
