epoch,loss,accuracy,duration,gpus
1,1.4175266027450562,49.356,16.69002056121826,4
2,1.0251634120941162,63.656,4.8270323276519775,4
3,0.8422073125839233,70.214,4.945509672164917,4
4,0.7026408314704895,75.226,4.878650665283203,4
5,0.5925796031951904,79.296,5.02620792388916,4
6,0.49775761365890503,82.494,5.399127960205078,4
7,0.41197484731674194,85.49,5.92180061340332,4
8,0.3346039950847626,88.22,4.911219358444214,4
9,0.2829732298851013,90.068,4.849753379821777,4
10,0.2261711061000824,92.058,4.866513967514038,4
11,0.18955647945404053,93.298,4.951267719268799,4
12,0.15907149016857147,94.362,4.813965082168579,4
13,0.14252960681915283,95.016,4.919674873352051,4
14,0.11957003176212311,95.708,4.902337551116943,4
15,0.105403833091259,96.296,4.914921760559082,4
16,0.10113352537155151,96.504,4.82705020904541,4
17,0.08758476376533508,96.876,4.9026336669921875,4
18,0.08871449530124664,96.88,4.869931221008301,4
19,0.07715901732444763,97.3,4.74287748336792,4
20,0.07427841424942017,97.462,4.8027966022491455,4
21,0.06839998066425323,97.692,4.842047452926636,4
22,0.08267955482006073,97.084,5.001872777938843,4
23,0.06947902590036392,97.482,4.814910650253296,4
24,0.05183536186814308,98.23,4.814690113067627,4
25,0.055915333330631256,98.044,4.879222393035889,4
26,0.06261646002531052,97.824,4.87695837020874,4
27,0.06191391125321388,97.86,4.875507831573486,4
28,0.05231744050979614,98.162,4.938605070114136,4
29,0.05273108929395676,98.138,4.933767080307007,4
30,0.06309521943330765,97.778,4.898536920547485,4
31,0.050023242831230164,98.312,4.90352725982666,4
32,0.04048716276884079,98.588,5.017796277999878,4
33,0.04799026995897293,98.348,4.8903772830963135,4
34,0.0487055703997612,98.38,5.011343240737915,4
35,0.0422108992934227,98.55,4.910705089569092,4
36,0.05108959227800369,98.288,4.951494932174683,4
37,0.03825006261467934,98.71,4.765099763870239,4
38,0.04906299337744713,98.296,4.838741302490234,4
39,0.04579516872763634,98.374,4.909984350204468,4
40,0.035715457051992416,98.776,4.870999097824097,4
41,0.03519562631845474,98.812,4.974293947219849,4
42,0.0390477292239666,98.69,4.989530563354492,4
43,0.03954428806900978,98.654,4.872224807739258,4
44,0.03266944736242294,98.916,4.838214635848999,4
45,0.046536147594451904,98.382,5.007180452346802,4
46,0.03820805996656418,98.704,4.881848335266113,4
47,0.0247137900441885,99.154,4.990455389022827,4
48,0.02907889522612095,99.0,4.927745342254639,4
49,0.032452695071697235,98.842,4.777881145477295,4
50,0.03789291903376579,98.696,4.65552282333374,4
