epoch,loss,duration,gpus
1,7.19864559173584,22.072388172149658,1
2,6.375210285186768,21.250915050506592,1
3,6.031081676483154,21.058587789535522,1
4,5.773763656616211,21.166821718215942,1
5,5.56363582611084,20.971117734909058,1
6,5.384169101715088,21.20278763771057,1
7,5.227372169494629,21.314333200454712,1
8,5.092319965362549,21.102898359298706,1
9,4.969759464263916,21.302441358566284,1
10,4.853886127471924,21.13021993637085,1
11,4.751766681671143,21.42658758163452,1
12,4.650782108306885,21.155153512954712,1
13,4.559556007385254,20.934163331985474,1
14,4.474259853363037,21.39883518218994,1
15,4.389615535736084,21.254897356033325,1
16,4.312605381011963,21.1542489528656,1
17,4.234774589538574,21.358631372451782,1
18,4.163694381713867,20.922961711883545,1
19,4.093960285186768,21.214449882507324,1
20,4.027380466461182,21.16250205039978,1
21,3.963198184967041,21.103168725967407,1
22,3.9008665084838867,21.206192016601562,1
23,3.841352701187134,21.282716751098633,1
24,3.785287618637085,21.259021520614624,1
25,3.7292227745056152,21.357941389083862,1
